,Year,Winner,Rank,Time,Distance,winnerpace,Hours,Minutes,Seconds,Team,RiderNumber,TotalSeconds,Gap,Number of Stages,ListedAvgPace,edition,winner_team,time_overall,time_margin,stage_wins,stages_led,height(meters),age,nickname,nationality,weight(lbs),count
88,1919,FIRMIN LAMBOT,1,231h 07' 15'',3455.562461,24.05668031,231,7,15,TDF 1919 ***,45,832035,-,30,24.056,13,La Sportive,231.1208333,1.715,1,2,,33,, Belgium,,1
89,1903,,,,,,,,,,,,,,,1,La Française,94.55388889,2.989166667,3,6,1.62,32,The Little Chimney-sweep, France,132.3,1
90,1904,,,,,,,,,,,,,,,2,Conte,96.09861111,2.270555556,1,3,,19,Le rigolo (The joker), France,,1
91,1905,,,,,,,,,,,,,,,3,Peugeot–Wolber,,,5,10,,24,Levaloy / Trou-trou, France,,1
92,1906,,,,,,,,,,,,,,,4,Peugeot–Wolber,,,5,12,,27,, France,,1
93,1907,,,,,,,,,,,,,,,5,Peugeot–Wolber,,,2,5,,24,Lucien Petit-Breton, France,,1
94,1908,,,,,,,,,,,,,,,6,Peugeot–Wolber,,,5,13,,25,Lucien Petit-Breton, France,,1
95,1909,,,,,,,,,,,,,,,7,Alcyon–Dunlop,,,6,13,1.78,22,The giant of colombes, Luxembourg,194.04,1
96,1910,,,,,,,,,,,,,,,8,Alcyon–Dunlop,,,4,3,,22,, France,,1
97,1911,,,,,,,,,,,,,,,9,Alcyon–Dunlop,,,2,13,,26,, France,,1
98,1912,,,,,,,,,,,,,,,10,Alcyon–Dunlop,,,3,13,,23,, Belgium,,1
99,1913,,,,,,,,,,,,,,,11,Peugeot–Wolber,197.9,0.135555556,1,8,,23,Le basset (The Basset Hound), Belgium,,1
100,1914,,,,,,,,,,,,,,,12,Peugeot–Wolber,200.48,0.016944444,1,15,,24,Le basset (The Basset Hound), Belgium,,1
101,1999,,,,,,,,,,,,,,,86,U.S. Postal Service,91.53777778,0.118611111,4,15,1.77,27,"Le Boss, Big Tex", United States,165.375,1
102,2000,,,,,,,,,,,,,,,87,U.S. Postal Service,92.55222222,0.101666667,1,12,1.77,28,"Le Boss, Big Tex", United States,165.375,1
103,2001,,,,,,,,,,,,,,,88,U.S. Postal Service,86.29111111,0.101666667,4,8,1.77,29,"Le Boss, Big Tex", United States,165.375,1
104,2002,,,,,,,,,,,,,,,89,U.S. Postal Service,82.08666667,0.118611111,4,11,1.77,30,"Le Boss, Big Tex", United States,165.375,1
105,2003,,,,,,,,,,,,,,,90,U.S. Postal Service,83.68666667,0.016944444,1,13,1.77,31,"Le Boss, Big Tex", United States,165.375,1
106,2004,,,,,,,,,,,,,,,91,U.S. Postal Service,83.60055556,0.101666667,5,7,1.77,32,"Le Boss, Big Tex", United States,165.375,1
107,2005,,,,,,,,,,,,,,,92,Discovery Channel,86.25055556,0.067777778,1,17,1.77,33,"Le Boss, Big Tex", United States,165.375,1
