,Year,Rider,Rank,Time,DistanceKilometer,PersonalAvgPace,Hours,Minutes,Seconds,Team,RiderNumber,TotalSeconds,Gap,Bonus,Points,NumberStages,ListedAvgPace
22,2021,JONATHAN CASTROVIEJO NICOLAS,23,84h 02' 56'',3383,0.0,84,2,56,INEOS GRENADIERS,23,302576,+ 01h 06' 20'',,,42,41.17
23,2021,ALEJANDRO VALVERDE,24,84h 04' 26'',3383,0.0,84,4,26,MOVISTAR TEAM,67,302666,+ 01h 07' 50'',11',,42,41.17
24,2021,SERGIO ANDRES HIGUITA GARCIA,25,84h 05' 52'',3383,0.0,84,5,52,EF EDUCATION - NIPPO,114,302752,+ 01h 09' 16'',06',,42,41.17
25,2021,ION IZAGUIRRE INSAUSTI,26,84h 20' 15'',3383,0.0,84,20,15,ASTANA - PREMIER TECH,187,303615,+ 01h 23' 39'',06',,42,41.17
26,2021,PATRICK KONRAD,27,84h 23' 42'',3383,0.0,84,23,42,BORA - HANSGROHE,74,303822,+ 01h 27' 06'',16',,42,41.17
27,2021,NAIRO QUINTANA,28,84h 29' 47'',3383,0.0,84,29,47,TEAM ARKEA - SAMSIC,136,304187,+ 01h 33' 11'',,,42,41.17
28,2021,XANDRO MEURISSE,29,84h 37' 24'',3383,0.0,84,37,24,ALPECIN - FENIX,104,304644,+ 01h 40' 48'',,,42,41.17
29,2021,JULIAN ALAPHILIPPE,30,84h 39' 42'',3383,0.0,84,39,42,DECEUNINCK - QUICK - STEP,51,304782,+ 01h 43' 06'',10',,42,41.17
30,2021,MATEJ MOHORIC,31,84h 46' 40'',3383,0.0,84,46,40,BAHRAIN VICTORIOUS,165,305200,+ 01h 50' 04'',28',,42,41.17
31,2021,SEPP KUSS,32,84h 46' 40'',3383,0.0,84,46,40,JUMBO - VISMA,15,305200,+ 01h 50' 04'',18',,42,41.17
32,2021,EMANUEL BUCHMANN,33,84h 47' 41'',3383,0.0,84,47,41,BORA - HANSGROHE,72,305261,+ 01h 51' 05'',,,42,41.17
33,2021,RAFAL MAJKA,34,84h 50' 40'',3383,0.0,84,50,40,UAE TEAM EMIRATES,7,305440,+ 01h 54' 04'',,,42,41.17
34,2021,QUENTIN PACHER,35,84h 52' 10'',3383,0.0,84,52,10,B&B HOTELS P/B KTM,227,305530,+ 01h 55' 34'',,,42,41.17
35,2021,KENNY ELISSONDE,36,84h 53' 09'',3383,0.0,84,53,9,TREK - SEGAFREDO,43,305589,+ 01h 56' 33'',08',,42,41.17
36,2021,JULIEN BERNARD,37,85h 00' 08'',3383,0.0,85,0,8,TREK - SEGAFREDO,42,306008,+ 02h 03' 32'',,,42,41.17
37,2021,RICHIE PORTE,38,85h 03' 15'',3383,0.0,85,3,15,INEOS GRENADIERS,26,306195,+ 02h 06' 39'',,,42,41.17
38,2021,JASPER STUYVEN,39,85h 04' 15'',3383,0.0,85,4,15,TREK - SEGAFREDO,47,306255,+ 02h 07' 39'',11',,42,41.17
39,2021,DANIEL MARTIN,40,85h 06' 11'',3383,0.0,85,6,11,ISRAEL START-UP NATION,36,306371,+ 02h 09' 35'',,,42,41.17
40,2021,GERAINT THOMAS,41,85h 08' 13'',3383,0.0,85,8,13,INEOS GRENADIERS,21,306493,+ 02h 11' 37'',,,42,41.17
41,2021,VALENTIN MADOUAS,42,85h 08' 15'',3383,0.0,85,8,15,GROUPAMA - FDJ,87,306495,+ 02h 11' 39'',,,42,41.17
42,2021,NEILSON POWLESS,43,85h 10' 09'',3383,0.0,85,10,9,EF EDUCATION - NIPPO,117,306609,+ 02h 13' 33'',,,42,41.17
43,2021,DAVIDE FORMOLO,44,85h 12' 32'',3383,0.0,85,12,32,UAE TEAM EMIRATES,4,306752,+ 02h 15' 56'',,,42,41.17
44,2021,MARK DONOVAN,45,85h 14' 16'',3383,0.0,85,14,16,TEAM DSM,144,306856,+ 02h 17' 40'',,,42,41.17
45,2021,CRISTIAN RODRIGUEZ MARTIN,46,85h 16' 07'',3383,0.0,85,16,7,TOTALENERGIES,206,306967,+ 02h 19' 31'',,,42,41.17
46,2021,PIERRE LATOUR,47,85h 16' 12'',3383,0.0,85,16,12,TOTALENERGIES,201,306972,+ 02h 19' 36'',,,42,41.17
47,2021,JAN BAKELANTS,48,85h 18' 06'',3383,0.0,85,18,6,INTERMARCHE - WANTY - GOBERT MATERIAUX,212,307086,+ 02h 21' 30'',,,42,41.17
48,2021,STEFAN KÜNG,49,85h 18' 39'',3383,0.0,85,18,39,GROUPAMA - FDJ,86,307119,+ 02h 22' 03'',,,42,41.17
49,2021,NILS POLITT,50,85h 19' 20'',3383,0.0,85,19,20,BORA - HANSGROHE,76,307160,+ 02h 22' 44'',10',,42,41.17
50,2021,PIERRE ROLLAND,51,85h 19' 47'',3383,0.0,85,19,47,B&B HOTELS P/B KTM,228,307187,+ 02h 23' 11'',,00' 20'',42,41.17
51,2021,SONNY COLBRELLI,52,85h 21' 15'',3383,0.0,85,21,15,BAHRAIN VICTORIOUS,163,307275,+ 02h 24' 39'',10',,42,41.17
52,2021,MICHAEL VALGREN HUNDAHL,53,85h 22' 52'',3383,0.0,85,22,52,EF EDUCATION - NIPPO,115,307372,+ 02h 26' 16'',,,42,41.17
53,2021,DYLAN VAN BAARLE,54,85h 23' 43'',3383,0.0,85,23,43,INEOS GRENADIERS,28,307423,+ 02h 27' 07'',,,42,41.17
54,2021,JONAS RUTSCH,55,85h 26' 09'',3383,0.0,85,26,9,EF EDUCATION - NIPPO,118,307569,+ 02h 29' 33'',,,42,41.17
55,2021,MAGNUS CORT NIELSEN,56,85h 26' 59'',3383,0.0,85,26,59,EF EDUCATION - NIPPO,116,307619,+ 02h 30' 23'',04',,42,41.17
56,2021,OMAR FRAILE MATARRANZ,57,85h 27' 50'',3383,0.0,85,27,50,ASTANA - PREMIER TECH,184,307670,+ 02h 31' 14'',,,42,41.17
57,2021,MICHAEL SCHÄR,58,85h 31' 54'',3383,0.0,85,31,54,AG2R CITROEN TEAM,127,307914,+ 02h 35' 18'',,,42,41.17
58,2021,SILVAN DILLIER,59,85h 32' 19'',3383,0.0,85,32,19,ALPECIN - FENIX,102,307939,+ 02h 35' 43'',,,42,41.17
59,2021,TAO GEOGHEGAN HART,60,85h 33' 38'',3383,0.0,85,33,38,INEOS GRENADIERS,24,308018,+ 02h 37' 02'',,,42,41.17
60,2021,ELIE GESBERT,61,85h 35' 04'',3383,0.0,85,35,4,TEAM ARKEA - SAMSIC,134,308104,+ 02h 38' 28'',,,42,41.17
61,2021,SIMON GESCHKE,62,85h 35' 27'',3383,0.0,85,35,27,COFIDIS,93,308127,+ 02h 38' 51'',,,42,41.17
62,2021,LORENZO ROTA,63,85h 36' 33'',3383,0.0,85,36,33,INTERMARCHE - WANTY - GOBERT MATERIAUX,214,308193,+ 02h 39' 57'',,,42,41.17
63,2021,KASPER ASGREEN,64,85h 40' 17'',3383,0.0,85,40,17,DECEUNINCK - QUICK - STEP,52,308417,+ 02h 43' 41'',,,42,41.17
64,2021,BRENT VAN MOER,65,85h 40' 25'',3383,0.0,85,40,25,LOTTO SOUDAL,158,308425,+ 02h 43' 49'',02',,42,41.17
65,2021,HUGO HOULE,66,85h 41' 15'',3383,0.0,85,41,15,ASTANA - PREMIER TECH,186,308475,+ 02h 44' 39'',,,42,41.17
66,2021,IMANOL ERVITI,67,85h 45' 43'',3383,0.0,85,45,43,MOVISTAR TEAM,63,308743,+ 02h 49' 07'',06',,42,41.17
67,2021,MICHAL KWIATKOWSKI,68,85h 45' 58'',3383,0.0,85,45,58,INEOS GRENADIERS,25,308758,+ 02h 49' 22'',,,42,41.17
68,2021,BRANDON MCNULTY,69,85h 47' 29'',3383,0.0,85,47,29,UAE TEAM EMIRATES,8,308849,+ 02h 50' 53'',,,42,41.17
69,2021,OLIVER NAESEN,70,85h 49' 01'',3383,0.0,85,49,1,AG2R CITROEN TEAM,123,308941,+ 02h 52' 25'',,,42,41.17
70,2021,TOMS SKUJINS,71,85h 49' 32'',3383,0.0,85,49,32,TREK - SEGAFREDO,46,308972,+ 02h 52' 56'',,00' 20'',42,41.17
71,2021,VICTOR DE LA PARTE,72,85h 51' 04'',3383,0.0,85,51,4,TOTALENERGIES,204,309064,+ 02h 54' 28'',,,42,41.17
72,2021,ANTHONY TURGIS,73,85h 52' 27'',3383,0.0,85,52,27,TOTALENERGIES,208,309147,+ 02h 55' 51'',,,42,41.17
73,2021,ALEX ARANBURU DEBA,74,85h 53' 20'',3383,0.0,85,53,20,ASTANA - PREMIER TECH,182,309200,+ 02h 56' 44'',,,42,41.17
74,2021,DORIAN GODON,75,85h 53' 47'',3383,0.0,85,53,47,AG2R CITROEN TEAM,122,309227,+ 02h 57' 11'',,,42,41.17
75,2021,MIKE TEUNISSEN,76,85h 55' 01'',3383,0.0,85,55,1,JUMBO - VISMA,17,309301,+ 02h 58' 25'',,,42,41.17
76,2021,RUI COSTA,77,85h 55' 05'',3383,0.0,85,55,5,UAE TEAM EMIRATES,3,309305,+ 02h 58' 29'',,,42,41.17
77,2021,FABIEN DOUBEY,78,85h 59' 21'',3383,0.0,85,59,21,TOTALENERGIES,205,309561,+ 03h 02' 45'',,,42,41.17
78,2021,MICHAEL MATTHEWS,79,86h 00' 06'',3383,0.0,86,0,6,TEAM BIKEEXCHANGE,171,309606,+ 03h 03' 30'',10',,42,41.17
79,2021,GEORG ZIMMERMANN,80,86h 02' 24'',3383,0.0,86,2,24,INTERMARCHE - WANTY - GOBERT MATERIAUX,218,309744,+ 03h 05' 48'',,,42,41.17
80,2021,CYRIL GAUTIER,81,86h 05' 06'',3383,0.0,86,5,6,B&B HOTELS P/B KTM,225,309906,+ 03h 08' 30'',,,42,41.17
81,2021,THOMAS DE GENDT,82,86h 05' 22'',3383,0.0,86,5,22,LOTTO SOUDAL,153,309922,+ 03h 08' 46'',,,42,41.17
82,2021,BRUNO ARMIRAIL,83,86h 06' 34'',3383,0.0,86,6,34,GROUPAMA - FDJ,82,309994,+ 03h 09' 58'',,,42,41.17
83,2021,RUBEN FERNANDEZ,84,86h 07' 19'',3383,0.0,86,7,19,COFIDIS,92,310039,+ 03h 10' 43'',,,42,41.17
84,2021,HARRISON SWEENY,85,86h 07' 28'',3383,0.0,86,7,28,LOTTO SOUDAL,156,310048,+ 03h 10' 52'',04',,42,41.17
85,2021,ANTHONY PEREZ,86,86h 07' 32'',3383,0.0,86,7,32,COFIDIS,96,310052,+ 03h 10' 56'',,,42,41.17
86,2021,JESUS HERRADA,87,86h 07' 51'',3383,0.0,86,7,51,COFIDIS,94,310071,+ 03h 11' 15'',,,42,41.17
87,2021,CYRIL BARTHE,88,86h 09' 07'',3383,0.0,86,9,7,B&B HOTELS P/B KTM,222,310147,+ 03h 12' 31'',,,42,41.17
88,2021,CONNOR SWIFT,89,86h 10' 24'',3383,0.0,86,10,24,TEAM ARKEA - SAMSIC,138,310224,+ 03h 13' 48'',,,42,41.17
89,2021,JORGE ARCAS,90,86h 11' 17'',3383,0.0,86,11,17,MOVISTAR TEAM,62,310277,+ 03h 14' 41'',,,42,41.17
90,2021,CHRISTOPHE LAPORTE,91,86h 11' 39'',3383,0.0,86,11,39,COFIDIS,95,310299,+ 03h 15' 03'',06',,42,41.17
91,2021,PIERRE LUC PERICHON,92,86h 13' 03'',3383,0.0,86,13,3,COFIDIS,97,310383,+ 03h 16' 27'',,,42,41.17
92,2021,MAXIME CHEVALIER,93,86h 13' 30'',3383,0.0,86,13,30,B&B HOTELS P/B KTM,224,310410,+ 03h 16' 54'',,,42,41.17
93,2021,IVAN GARCIA CORTINA,94,86h 18' 01'',3383,0.0,86,18,1,MOVISTAR TEAM,64,310681,+ 03h 21' 25'',,,42,41.17
94,2021,JONAS RICKAERT,95,86h 19' 12'',3383,0.0,86,19,12,ALPECIN - FENIX,106,310752,+ 03h 22' 36'',,,42,41.17
95,2021,FRED WRIGHT,96,86h 20' 55'',3383,0.0,86,20,55,BAHRAIN VICTORIOUS,168,310855,+ 03h 24' 19'',,,42,41.17
96,2021,GREG VAN AVERMAET,97,86h 21' 05'',3383,0.0,86,21,5,AG2R CITROEN TEAM,128,310865,+ 03h 24' 29'',,,42,41.17
97,2021,MARC HIRSCHI,98,86h 21' 14'',3383,0.0,86,21,14,UAE TEAM EMIRATES,5,310874,+ 03h 24' 38'',,,42,41.17
98,2021,PHILIPPE GILBERT,99,86h 23' 58'',3383,0.0,86,23,58,LOTTO SOUDAL,154,311038,+ 03h 27' 22'',,,42,41.17
99,2021,LUKE DURBRIDGE,100,86h 24' 41'',3383,0.0,86,24,41,TEAM BIKEEXCHANGE,173,311081,+ 03h 28' 05'',,,42,41.17
100,2021,CARLOS VERONA QUINTANILLA,101,86h 25' 16'',3383,0.0,86,25,16,MOVISTAR TEAM,68,311116,+ 03h 28' 40'',,,42,41.17
101,2021,LUKA MEZGEC,102,86h 26' 53'',3383,0.0,86,26,53,TEAM BIKEEXCHANGE,177,311213,+ 03h 30' 17'',,,42,41.17
102,2021,STEFAN BISSEGGER,103,86h 28' 11'',3383,0.0,86,28,11,EF EDUCATION - NIPPO,112,311291,+ 03h 31' 35'',,,42,41.17
103,2021,EDWARD THEUNS,104,86h 30' 07'',3383,0.0,86,30,7,TREK - SEGAFREDO,48,311407,+ 03h 33' 31'',,,42,41.17
104,2021,GUILLAUME BOIVIN,105,86h 30' 18'',3383,0.0,86,30,18,ISRAEL START-UP NATION,32,311418,+ 03h 33' 42'',,,42,41.17
105,2021,KRISTIAN SBARAGLI,106,86h 30' 55'',3383,0.0,86,30,55,ALPECIN - FENIX,107,311455,+ 03h 34' 19'',,,42,41.17
106,2021,BENOIT COSNEFROY,107,86h 31' 30'',3383,0.0,86,31,30,AG2R CITROEN TEAM,121,311490,+ 03h 34' 54'',,,42,41.17
107,2021,DAVIDE BALLERINI,108,86h 31' 49'',3383,0.0,86,31,49,DECEUNINCK - QUICK - STEP,53,311509,+ 03h 35' 13'',,,42,41.17
108,2021,JASPER PHILIPSEN,109,86h 38' 47'',3383,0.0,86,38,47,ALPECIN - FENIX,105,311927,+ 03h 42' 11'',30',,42,41.17
109,2021,MIKKEL BJERG,110,86h 38' 57'',3383,0.0,86,38,57,UAE TEAM EMIRATES,2,311937,+ 03h 42' 21'',,,42,41.17
110,2021,CASPER PEDERSEN,111,86h 39' 28'',3383,0.0,86,39,28,TEAM DSM,147,311968,+ 03h 42' 52'',04',,42,41.17
111,2021,VEGARD STAKE LAENGEN,112,86h 40' 09'',3383,0.0,86,40,9,UAE TEAM EMIRATES,6,312009,+ 03h 43' 33'',,,42,41.17
112,2021,DMITRIY GRUZDEV,113,86h 41' 25'',3383,0.0,86,41,25,ASTANA - PREMIER TECH,185,312085,+ 03h 44' 49'',,,42,41.17
113,2021,CHRISTOPHER JUUL JENSEN,114,86h 41' 43'',3383,0.0,86,41,43,TEAM BIKEEXCHANGE,176,312103,+ 03h 45' 07'',,,42,41.17
114,2021,DANIEL OSS,115,86h 43' 29'',3383,0.0,86,43,29,BORA - HANSGROHE,75,312209,+ 03h 46' 53'',,,42,41.17
115,2021,LUKAS PÖSTLBERGER,116,86h 43' 48'',3383,0.0,86,43,48,BORA - HANSGROHE,77,312228,+ 03h 47' 12'',,,42,41.17
116,2021,BOY VAN POPPEL,117,86h 47' 01'',3383,0.0,86,47,1,INTERMARCHE - WANTY - GOBERT MATERIAUX,215,312421,+ 03h 50' 25'',,,42,41.17
117,2021,PETR VAKOČ,118,86h 47' 42'',3383,0.0,86,47,42,ALPECIN - FENIX,108,312462,+ 03h 51' 06'',,,42,41.17
118,2021,IDE SCHELLING,119,86h 47' 52'',3383,0.0,86,47,52,BORA - HANSGROHE,78,312472,+ 03h 51' 16'',,00' 20'',42,41.17
119,2021,DANNY VAN POPPEL,120,86h 49' 29'',3383,0.0,86,49,29,INTERMARCHE - WANTY - GOBERT MATERIAUX,216,312569,+ 03h 52' 53'',,,42,41.17
120,2021,MAXIMILIAN RICHARD WALSCHEID,121,86h 49' 41'',3383,0.0,86,49,41,TEAM QHUBEKA NEXTHASH,198,312581,+ 03h 53' 05'',,,42,41.17
121,2021,OMER GOLDSTEIN,122,86h 52' 02'',3383,0.0,86,52,2,ISRAEL START-UP NATION,33,312722,+ 03h 55' 26'',,,42,41.17
122,2021,SIMON CLARKE,123,86h 52' 44'',3383,0.0,86,52,44,TEAM QHUBEKA NEXTHASH,195,312764,+ 03h 56' 08'',,,42,41.17
123,2021,CARLOS BARBERO,124,86h 56' 56'',3383,0.0,86,56,56,TEAM QHUBEKA NEXTHASH,192,313016,+ 04h 00' 20'',,,42,41.17
124,2021,ANDRÉ GREIPEL,125,86h 58' 02'',3383,0.0,86,58,2,ISRAEL START-UP NATION,34,313082,+ 04h 01' 26'',,,42,41.17
125,2021,NILS EEKHOFF,126,86h 59' 20'',3383,0.0,86,59,20,TEAM DSM,145,313160,+ 04h 02' 44'',,,42,41.17
126,2021,MARCO HALLER,127,86h 59' 37'',3383,0.0,86,59,37,BAHRAIN VICTORIOUS,164,313177,+ 04h 03' 01'',,,42,41.17
127,2021,JORIS NIEUWENHUIS,128,86h 59' 58'',3383,0.0,86,59,58,TEAM DSM,146,313198,+ 04h 03' 22'',,,42,41.17
128,2021,JULIEN SIMON,129,87h 02' 25'',3383,0.0,87,2,25,TOTALENERGIES,207,313345,+ 04h 05' 49'',,,42,41.17
129,2021,SEAN BENNETT,130,87h 04' 18'',3383,0.0,87,4,18,TEAM QHUBEKA NEXTHASH,193,313458,+ 04h 07' 42'',,,42,41.17
130,2021,JELLE WALLAYS,131,87h 06' 22'',3383,0.0,87,6,22,COFIDIS,98,313582,+ 04h 09' 46'',,,42,41.17
131,2021,JÉRÉMY CABOT,132,87h 08' 11'',3383,0.0,87,8,11,TOTALENERGIES,203,313691,+ 04h 11' 35'',,,42,41.17
132,2021,CHRIS FROOME,133,87h 08' 37'',3383,0.0,87,8,37,ISRAEL START-UP NATION,31,313717,+ 04h 12' 01'',,,42,41.17
133,2021,RICK ZABEL,134,87h 09' 43'',3383,0.0,87,9,43,ISRAEL START-UP NATION,38,313783,+ 04h 13' 07'',,,42,41.17
134,2021,DRIES DEVENYNS,135,87h 17' 25'',3383,0.0,87,17,25,DECEUNINCK - QUICK - STEP,57,314245,+ 04h 20' 49'',,,42,41.17
135,2021,RETO HOLLENSTEIN,136,87h 20' 55'',3383,0.0,87,20,55,ISRAEL START-UP NATION,35,314455,+ 04h 24' 19'',,00' 40'',42,41.17
136,2021,MADS PEDERSEN,137,87h 25' 53'',3383,0.0,87,25,53,TREK - SEGAFREDO,45,314753,+ 04h 29' 17'',,,42,41.17
137,2021,MICHAEL MØRKØV,138,87h 29' 21'',3383,0.0,87,29,21,DECEUNINCK - QUICK - STEP,58,314961,+ 04h 32' 45'',06',,42,41.17
138,2021,MARK CAVENDISH,139,87h 30' 50'',3383,0.0,87,30,50,DECEUNINCK - QUICK - STEP,55,315050,+ 04h 34' 14'',44',,42,41.17
139,2021,CEES BOL,140,87h 33' 15'',3383,0.0,87,33,15,TEAM DSM,143,315195,+ 04h 36' 39'',,,42,41.17
140,2021,TIM DECLERCQ,141,87h 57' 45'',3383,0.0,87,57,45,DECEUNINCK - QUICK - STEP,56,316665,+ 05h 01' 09'',,,42,41.17
141,2020,TADEJ POGAČAR,1,87h 20' 05'',3483,0.0,87,20,5,UAE TEAM EMIRATES,131,314405,-,32',,42,38.624
142,2020,PRIMOŽ ROGLIČ,2,87h 21' 04'',3483,0.0,87,21,4,TEAM JUMBO - VISMA,11,314464,+ 00h 00' 59'',33',,42,38.624
143,2020,RICHIE PORTE,3,87h 23' 35'',3483,0.0,87,23,35,TREK - SEGAFREDO,101,314615,+ 00h 03' 30'',04',,42,38.624
144,2020,MIKEL LANDA MEANA,4,87h 26' 03'',3483,0.0,87,26,3,BAHRAIN - MCLAREN,61,314763,+ 00h 05' 58'',,,42,38.624
145,2020,ENRIC MAS NICOLAU,5,87h 26' 12'',3483,0.0,87,26,12,MOVISTAR TEAM,94,314772,+ 00h 06' 07'',,,42,38.624
146,2020,MIGUEL ANGEL LOPEZ MORENO,6,87h 26' 52'',3483,0.0,87,26,52,ASTANA PRO TEAM,141,314812,+ 00h 06' 47'',10',,42,38.624
147,2020,TOM DUMOULIN,7,87h 27' 53'',3483,0.0,87,27,53,TEAM JUMBO - VISMA,14,314873,+ 00h 07' 48'',,,42,38.624
148,2020,RIGOBERTO URAN,8,87h 28' 07'',3483,0.0,87,28,7,EF PRO CYCLING,71,314887,+ 00h 08' 02'',,,42,38.624
149,2020,ADAM YATES,9,87h 29' 30'',3483,0.0,87,29,30,MITCHELTON - SCOTT,161,314970,+ 00h 09' 25'',12',,42,38.624
150,2020,DAMIANO CARUSO,10,87h 34' 08'',3483,0.0,87,34,8,BAHRAIN - MCLAREN,63,315248,+ 00h 14' 03'',,,42,38.624
151,2020,GUILLAUME MARTIN,11,87h 37' 03'',3483,0.0,87,37,3,COFIDIS,121,315423,+ 00h 16' 58'',04',,42,38.624
152,2020,ALEJANDRO VALVERDE,12,87h 37' 46'',3483,0.0,87,37,46,MOVISTAR TEAM,91,315466,+ 00h 17' 41'',,,42,38.624
153,2020,RICHARD CARAPAZ,13,87h 45' 58'',3483,0.0,87,45,58,INEOS GRENADIERS,3,315958,+ 00h 25' 53'',25',,42,38.624
154,2020,WARREN BARGUIL,14,87h 51' 09'',3483,0.0,87,51,9,TEAM ARKEA - SAMSIC,83,316269,+ 00h 31' 04'',,,42,38.624
155,2020,SEPP KUSS,15,88h 02' 25'',3483,0.0,88,2,25,TEAM JUMBO - VISMA,16,316945,+ 00h 42' 20'',,00' 20'',42,38.624
156,2020,PEIO BILBAO LOPEZ DE ARMENTIA,16,88h 16' 01'',3483,0.0,88,16,1,BAHRAIN - MCLAREN,62,317761,+ 00h 55' 56'',02',,42,38.624
157,2020,NAIRO QUINTANA,17,88h 23' 12'',3483,0.0,88,23,12,TEAM ARKEA - SAMSIC,81,318192,+ 01h 03' 07'',,,42,38.624
158,2020,PIERRE ROLLAND,18,88h 28' 31'',3483,0.0,88,28,31,B&B HOTELS - VITAL CONCEPT P / B KTM,218,318511,+ 01h 08' 26'',06',,42,38.624
159,2020,CARLOS VERONA QUINTANILLA,19,88h 39' 59'',3483,0.0,88,39,59,MOVISTAR TEAM,98,319199,+ 01h 19' 54'',04',00' 20'',42,38.624
160,2020,WOUT VAN AERT,20,88h 40' 36'',3483,0.0,88,40,36,TEAM JUMBO - VISMA,18,319236,+ 01h 20' 31'',28',00' 10'',42,38.624
161,2020,MARC SOLER,21,88h 51' 58'',3483,0.0,88,51,58,MOVISTAR TEAM,97,319918,+ 01h 31' 53'',05',,42,38.624
162,2020,GORKA IZAGUIRRE INSAUSTI,22,88h 56' 17'',3483,0.0,88,56,17,ASTANA PRO TEAM,144,320177,+ 01h 36' 12'',,,42,38.624
163,2020,JHOAN ESTEBAN CHAVES RUBIO,23,88h 58' 50'',3483,0.0,88,58,50,MITCHELTON - SCOTT,164,320330,+ 01h 38' 45'',,,42,38.624
164,2020,SÉBASTIEN REICHENBACH,24,88h 59' 32'',3483,0.0,88,59,32,GROUPAMA - FDJ,58,320372,+ 01h 39' 27'',06',,42,38.624
165,2020,KENNY ELISSONDE,25,89h 00' 11'',3483,0.0,89,0,11,TREK - SEGAFREDO,103,320411,+ 01h 40' 06'',,,42,38.624
166,2020,MIKAEL CHEREL,26,89h 00' 56'',3483,0.0,89,0,56,AG2R LA MONDIALE,32,320456,+ 01h 40' 51'',,,42,38.624
167,2020,VALENTIN MADOUAS,27,89h 02' 48'',3483,0.0,89,2,48,GROUPAMA - FDJ,56,320568,+ 01h 42' 43'',,,42,38.624
168,2020,DANIEL FELIPE MARTINEZ POVEDA,28,89h 15' 17'',3483,0.0,89,15,17,EF PRO CYCLING,76,321317,+ 01h 55' 12'',15',,42,38.624
169,2020,THIBAUT PINOT,29,89h 19' 59'',3483,0.0,89,19,59,GROUPAMA - FDJ,51,321599,+ 01h 59' 54'',,,42,38.624
